Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.174.128-192.168.174.130-6522-49202-6,192.168.174.130,49202,192.168.174.128,6522,6,25/05/2022 07:07:28 PM,9070260,3,6,41,2,39,0,13.66666667,21.96208855,2,0,0.333333333,0.816496581,4.740768181,0.992253805,1133782.5,2212408.786,5969094,159,6040117,3020058.5,4251279.411,6026167,13950,9070260,1814052,2650224.605,5969094,975,0,0,0,0,60,144,0.330751268,0.661502537,0,39,4.3,12.22065647,149.3444444,0,1,0,0,0,0,0,0,2,4.777777778,13.66666667,0.333333333,0,0,0,0,0,0,3,41,6,2,-1,32765,2,0,70476,0,70476,70476,5969094,0,5969094,5969094,Malicious
192.168.174.128-192.168.174.130-6522-49202-6,192.168.174.130,49202,192.168.174.128,6522,6,25/05/2022 07:07:37 PM,1473,1,1,0,0,0,0,0,0,0,0,0,0,0,1357.773252,1473,0,1473,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,678.8866259,678.8866259,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.128-192.168.174.130-6522-49203-6,192.168.174.130,49203,192.168.174.128,6522,6,25/05/2022 07:08:09 PM,9038119,3,6,41,2,39,0,13.66666667,21.96208855,2,0,0.333333333,0.816496581,4.757627112,0.995782419,1129764.875,2215678.96,5984062,167,6030570,3015285,4260731.307,6028077,2493,9038119,1807623.8,2656987.546,5984062,1056,0,0,0,0,60,144,0.331927473,0.663854946,0,39,4.3,12.22065647,149.3444444,0,1,0,0,0,0,0,0,2,4.777777778,13.66666667,0.333333333,0,0,0,0,0,0,3,41,6,2,-1,32765,2,0,47350,0,47350,47350,5984062,0,5984062,5984062,Malicious
192.168.174.128-192.168.174.130-6522-49203-6,192.168.174.130,49203,192.168.174.128,6522,6,25/05/2022 07:08:18 PM,3137,1,1,0,0,0,0,0,0,0,0,0,0,0,637.5518011,3137,0,3137,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,318.7759005,318.7759005,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,256,0,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.128-192.168.174.130-6522-49201-6,192.168.174.128,6522,192.168.174.130,49201,6,25/05/2022 07:06:48 PM,105608331,66,42,7608,28899,1460,0,115.2727273,381.9986124,7514,0,688.0714286,1937.223993,345.6829556,1.022646594,986993.7477,2048113.421,1.37E+07,0,1.06E+08,1624041.554,2435235.413,1.37E+07,0,1.06E+08,2574698.512,2725541.478,1.37E+07,527,0,1,0,0,1320,852,0.624950696,0.397695898,0,7514,334.9449541,1261.555366,1591521.941,0,0,0,1,1,0,0,0,0,338.0462963,115.2727273,688.0714286,0,0,0,0,0,0,66,7608,42,28899,-1,51104,33,0,9698229,2.21E+07,5.47E+07,47159,7895486.5,3042827.195,1.37E+07,5051273,Malicious
192.168.174.130-255.255.255.255-68-67-17,192.168.174.130,68,255.255.255.255,67,17,25/05/2022 07:07:25 PM,63755972,1,1,300,300,300,300,300,0,300,300,300,0,9.410883109,0.03136961,6.38E+07,0,6.38E+07,6.38E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.015684805,0.015684805,300,300,300,0,0,0,0,0,0,0,0,0,0,1,450,300,300,0,0,0,0,0,0,1,300,1,300,-1,-1,1,0,0,0,0,0,6.38E+07,0,6.38E+07,6.38E+07,Malicious
192.168.174.130-192.168.174.254-68-67-17,192.168.174.254,67,192.168.174.130,68,17,25/05/2022 07:07:25 PM,63758543,1,1,300,300,300,300,300,0,300,300,300,0,9.410503625,0.031368345,6.38E+07,0,6.38E+07,6.38E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.015684173,0.015684173,300,300,300,0,0,0,0,0,0,0,0,0,0,1,450,300,300,0,0,0,0,0,0,1,300,1,300,-1,-1,1,0,0,0,0,0,6.38E+07,0,6.38E+07,6.38E+07,Malicious
192.168.174.130-192.168.174.255-137-137-17,192.168.174.130,137,192.168.174.255,137,17,25/05/2022 07:07:39 PM,119579916,26,1,1300,50,50,50,50,0,50,50,50,0,11.28952123,0.225790425,4599227.538,1.08E+07,5.13E+07,153657,1.19E+08,4753196.88,1.10E+07,5.13E+07,153657,0,0,0,0,0,0,0,0,0,208,8,0.217427816,0.008362608,50,50,50,0,0,0,0,0,0,0,0,0,0,0,51.85185185,50,50,0,0,0,0,0,0,26,1300,1,50,-1,-1,26,0,1.13E+07,6778540.239,1.91E+07,7253927,2.83E+07,2.22E+07,5.13E+07,7071169,Malicious
192.168.174.128-192.168.174.130-6522-49201-6,192.168.174.128,6522,192.168.174.130,49201,6,25/05/2022 07:08:49 PM,114987188,54,35,328,37468,18,0,6.074074074,8.213775479,8901,0,1070.514286,2647.417325,328.6974893,0.773999274,1306672.591,2588937.661,1.39E+07,94,1.15E+08,2168689.849,3063334.066,1.39E+07,42963,1.15E+08,3380321.882,3340289.046,1.40E+07,693,0,1,0,0,1080,712,0.469617537,0.304381737,0,8901,419.9777778,1717.527325,2949900.112,0,0,0,1,1,0,0,0,0,424.6966292,6.074074074,1070.514286,0,0,0,0,0,0,54,328,35,37468,-1,51026,26,0,6542445.143,9276755.949,2.44E+07,43856,8968777.857,2518648.346,1.39E+07,7005859,Malicious
192.168.174.128-192.168.174.130-6522-49204-6,192.168.174.130,49204,192.168.174.128,6522,6,25/05/2022 07:11:01 PM,9062775,3,6,53,2,51,0,17.66666667,28.88482877,2,0,0.333333333,0.816496581,6.068781361,0.993073314,1132846.875,2222169.558,6001182,98,6046860,3023430,4274139.466,6045703,1157,9062775,1812555,2664880.966,6001182,1361,0,0,0,0,60,144,0.331024438,0.662048876,0,51,5.5,16.0086782,256.2777778,0,1,0,0,0,0,0,0,2,6.111111111,17.66666667,0.333333333,0,0,0,0,0,0,3,53,6,2,-1,32764,2,0,46806,0,46806,46806,6001182,0,6001182,6001182,Malicious
